"lapse","polholder_age","polholder_BMCevol","polholder_diffdriver","polholder_gender","polholder_job","policy_age","policy_caruse","policy_nbcontract","prem_final","prem_freqperyear","prem_last","prem_market","prem_pure","vehicl_age","vehicl_agepurchase","vehicl_garage","vehicl_powerkw","vehicl_region"
0,44,"stable","only partner","Female","normal",1,"private or freelance work",1,314.01,"12 per year",314.03,250.95,314.03,13,12,"private garage","25-50 kW","Reg4"
1,45,"down","same","Male","medical",5,"unknown",1,261.28,"1 per year",266.61,222.5,230.62,18,4,"unknown","75 kW","Reg8"
1,54,"stable","same","Female","medical",4,"private or freelance work",1,155.07,"1 per year",147.7,128.81,155.86,9,0,"unknown","150 kW","Reg7"
0,76,"down","only partner","Female","normal",9,"unknown",1,524.03,"1 per year",534.72,445.57,477.05,12,0,"private garage","125-300 kW","Reg4"
0,59,"stable","only partner","Male","medical",0,"private or freelance work",2,256.14,"2 per year",256.15,297.65,273.5,16,15,"private garage","25-50 kW","Reg5"
0,41,"stable","only partner","Male","medical",0,"private or freelance work",1,136.27,"1 per year",136.29,188.45,145.39,14,12,"private garage","100 kW","Reg4"
0,46,"down","young drivers","Female","medical",0,"private or freelance work",1,420.49,"2 per year",429.08,437.08,416.36,8,8,"carport","25-50 kW","Reg10"
0,37,"stable","only partner","Male","medical",3,"private or freelance work",3,512.27,"4 per year",512.29,415.32,537.13,10,10,"street","75 kW","Reg5"
0,31,"down","same","Female","normal",0,"private or freelance work",1,355.94,"4 per year",363.2,453.41,338.99,12,10,"parking deck","75 kW","Reg7"
0,46,"stable","only partner","Female","medical",9,"unknown",1,326.76,"1 per year",326.78,275.71,306.42,17,8,"private garage","75 kW","Reg8"
0,57,"down","only partner","Male","normal",0,"private or freelance work",1,215.54,"1 per year",219.94,239.3,206.77,9,4,"private garage","100 kW","Reg8"
0,35,"down","same","Female","normal",0,"private or freelance work",3,221.16,"2 per year",225.67,211.69,224.66,12,11,"private garage","25-50 kW","Reg8"
0,30,"down","same","Male","medical",0,"private or freelance work",1,454.25,"4 per year",463.53,566.3,432.63,17,13,"street","100 kW","Reg8"
0,38,"stable","only partner","Female","normal",2,"private or freelance work",1,292.16,"1 per year",292.18,251.01,284.14,18,11,"other","25-50 kW","Reg8"
0,33,"stable","same","Male","normal",0,"private or freelance work",1,293.34,"4 per year",293.35,344.91,293.35,15,12,"private garage","150 kW","Reg10"
0,28,"down","same","Female","normal",0,"private or freelance work",2,343.37,"1 per year",350.37,361.29,330.76,16,16,"parking deck","75 kW","Reg7"
0,40,"down","only partner","Female","medical",2,"private or freelance work",1,461.73,"1 per year",471.15,518.89,400.02,18,17,"other","75 kW","Reg6"
0,32,"stable","only partner","Female","medical",1,"private or freelance work",1,275.76,"1 per year",275.77,302.57,275.77,13,10,"private garage","75 kW","Reg3"
0,65,"stable","young drivers","Male","normal",0,"private or freelance work",1,383.74,"4 per year",383.75,306.11,383.75,14,13,"carport","75 kW","Reg12"
1,36,"stable","only partner","Male","medical",7,"unknown",1,279.25,"1 per year",279.26,227.79,289.72,13,6,"street","100 kW","Reg12"
0,56,"down","same","Female","medical",2,"private or freelance work",1,265.19,"2 per year",270.6,252.38,240.54,11,2,"parking deck","100 kW","Reg3"
0,42,"down","same","Male","normal",0,"private or freelance work",1,474.43,"4 per year",484.11,485.24,443.76,12,11,"street","100 kW","Reg2"
0,43,"stable","only partner","Male","normal",5,"private or freelance work",3,259.25,"1 per year",259.26,214.16,242.81,15,4,"private garage","100 kW","Reg8"
0,25,"down","only partner","Female","normal",1,"private or freelance work",1,798.79,"12 per year",833.53,688.88,694.6,12,12,"street","100 kW","Reg4"
0,52,"stable","only partner","Female","normal",4,"private or freelance work",1,442.81,"2 per year",442.83,313.64,442.83,16,4,"unknown","150 kW","Reg8"
0,30,"down","same","Female","normal",0,"private or freelance work",1,469.58,"4 per year",490,518.55,408.34,12,5,"street","75 kW","Reg14"
0,28,"stable","same","Female","normal",0,"private or freelance work",1,198.61,"1 per year",198.62,270.81,208.02,14,5,"other","75 kW","Reg4"
0,49,"down","only partner","Female","medical",7,"unknown",2,225.27,"1 per year",229.86,199.91,197.02,14,6,"private garage","75 kW","Reg8"
0,31,"stable","same","Male","medical",0,"private or freelance work",2,157.64,"2 per year",157.65,223.08,157.65,18,18,"underground garage","25-50 kW","Reg14"
1,33,"down","same","Male","normal",2,"private or freelance work",1,407.86,"4 per year",416.19,298.81,347.75,16,8,"other","100 kW","Reg1"
0,50,"stable","only partner","Female","medical",2,"private or freelance work",2,461.31,"1 per year",461.32,366.27,461.32,12,9,"street","100 kW","Reg7"
0,43,"stable","only partner","Female","medical",2,"private or freelance work",1,328.51,"2 per year",328.53,297.3,328.53,17,11,"private garage","25-50 kW","Reg14"
1,58,"stable","only partner","Male","normal",3,"private or freelance work",2,176.38,"1 per year",174.75,157.01,176.38,12,0,"unknown","100 kW","Reg7"
0,24,"down","all drivers > 24","Female","normal",2,"private or freelance work",1,1034.1,"4 per year",1079.06,692.6,899.23,6,4,"underground garage","25-50 kW","Reg8"
0,35,"stable","only partner","Male","medical",1,"private or freelance work",3,341.74,"4 per year",341.75,335.91,348.26,16,14,"private garage","175 kW","Reg8"
0,41,"stable","only partner","Male","medical",5,"unknown",2,188.44,"1 per year",188.44,192.06,188.44,11,3,"unknown","25-50 kW","Reg8"
1,67,"down","same","Male","normal",1,"private or freelance work",1,557.58,"12 per year",568.96,511.16,541.91,10,8,"street","125-300 kW","Reg8"
0,85,"down","same","Male","normal",11,"private or freelance work",1,281.92,"1 per year",287.67,268.6,271.65,16,2,"street","100 kW","Reg4"
0,35,"down","same","Male","normal",1,"private or freelance work",1,470.51,"4 per year",490.96,540.88,409.14,15,10,"street","100 kW","Reg1"
0,38,"stable","same","Female","medical",2,"private or freelance work",1,194.21,"12 per year",194.23,192.15,189.04,16,3,"private garage","25-50 kW","Reg6"
0,43,"down","same","Male","medical",5,"private or freelance work",1,533.18,"4 per year",544.06,464.29,479.86,11,11,"other","75 kW","Reg3"
0,51,"stable","same","Male","normal",0,"private or freelance work",1,1009.1,"1 per year",1009.11,1019.76,990.03,12,12,"private garage","75 kW","Reg14"
0,64,"down","same","Male","normal",0,"private or freelance work",1,341.02,"4 per year",347.98,423.06,318.97,16,13,"other","75 kW","Reg8"
1,32,"down","only partner","Female","medical",0,"private or freelance work",1,533.63,"4 per year",544.52,598.05,538.12,11,8,"carport","75 kW","Reg9"
0,44,"stable","young drivers","Female","normal",0,"private or freelance work",2,509.17,"4 per year",509.19,522.5,489.74,15,15,"carport","175 kW","Reg1"
0,45,"down","only partner","Male","normal",2,"private or freelance work",1,344.31,"4 per year",351.34,310.38,316.2,15,10,"other","75 kW","Reg5"
1,39,"down","same","Male","medical",1,"private or freelance work",4,341.62,"1 per year",348.59,306.41,310.9,13,8,"private garage","125-300 kW","Reg12"
0,42,"stable","same","Male","normal",2,"private or freelance work",4,420.01,"1 per year",420.02,368.74,436.3,18,18,"street","100 kW","Reg9"
0,50,"down","only partner","Female","normal",5,"private or freelance work",1,185.88,"1 per year",189.68,209.53,168.78,14,2,"private garage","125-300 kW","Reg4"
0,30,"stable","only partner","Female","normal",1,"private or freelance work",1,188.46,"4 per year",188.47,197,188.47,11,3,"street","25-50 kW","Reg4"
0,30,"down","only partner","Female","normal",0,"private or freelance work",2,449.55,"4 per year",458.73,427.2,393.19,12,11,"other","75 kW","Reg7"
0,28,"down","only partner","Female","normal",1,"private or freelance work",1,458.58,"1 per year",467.94,519.65,424.52,10,8,"street","75 kW","Reg2"
0,44,"stable","only partner","Male","normal",3,"private or freelance work",1,369.39,"2 per year",369.4,301.26,329.59,7,6,"street","75 kW","Reg5"
0,34,"down","same","Female","normal",2,"private or freelance work",1,581.25,"1 per year",593.11,336.35,553.57,6,4,"private garage","25-50 kW","Reg4"
0,38,"stable","only partner","Male","normal",1,"private or freelance work",1,251.94,"1 per year",251.95,225.06,251.95,3,2,"private garage","100 kW","Reg4"
0,39,"down","all drivers > 24","Female","medical",0,"private or freelance work",2,688.11,"1 per year",799.33,847.5,625.56,12,8,"street","75 kW","Reg8"
0,42,"stable","same","Male","normal",2,"private or freelance work",1,477.35,"1 per year",477.36,453.86,472.87,15,9,"street","125-300 kW","Reg8"
0,39,"down","same","Male","medical",5,"private or freelance work",1,184.44,"1 per year",188.2,194.74,167.29,5,0,"street","75 kW","Reg8"
0,53,"stable","same","Female","medical",5,"private or freelance work",1,241.12,"2 per year",241.12,202.44,241.12,8,6,"street","25-50 kW","Reg5"
0,39,"stable","young drivers","Female","normal",1,"private or freelance work",2,489.46,"12 per year",489.47,483.35,480.25,10,2,"private garage","75 kW","Reg8"
0,33,"down","only partner","Male","normal",2,"private or freelance work",1,575.82,"2 per year",587.57,406.14,494.96,9,8,"private garage","75 kW","Reg8"
0,43,"down","all drivers > 24","Female","medical",0,"private or freelance work",1,191.09,"1 per year",194.99,266.46,173.33,10,5,"private garage","100 kW","Reg4"
0,30,"down","commercial","Male","normal",1,"unknown",1,786.34,"4 per year",820.52,567.83,697,5,5,"unknown","100 kW","Reg7"
0,30,"down","same","Female","normal",0,"private or freelance work",1,395.77,"4 per year",403.85,426.3,370.19,11,9,"parking deck","25-50 kW","Reg4"
0,45,"down","same","Male","medical",2,"private or freelance work",1,439.15,"1 per year",448.11,468.59,430.4,15,11,"other","75 kW","Reg4"
0,32,"down","same","Male","normal",1,"private or freelance work",1,491.04,"12 per year",512.39,531.36,419.12,18,15,"street","75 kW","Reg3"
0,57,"stable","same","Male","normal",2,"private or freelance work",1,344.45,"1 per year",344.46,391.59,331.81,17,8,"private garage","75 kW","Reg12"
0,61,"stable","all drivers > 24","Female","medical",8,"private or freelance work",1,191.46,"1 per year",191.47,218.94,191.47,9,0,"underground garage","25-50 kW","Reg2"
0,23,"down","same","Male","normal",0,"private or freelance work",1,817,"12 per year",949.04,646.04,742.76,14,14,"underground garage","75 kW","Reg3"
0,31,"down","same","Female","medical",0,"private or freelance work",1,191.09,"2 per year",194.99,227.7,165.52,10,8,"private garage","75 kW","Reg6"
0,49,"down","all drivers > 24","Female","normal",6,"private or freelance work",1,569.32,"1 per year",580.94,382.89,503.71,12,8,"unknown","75 kW","Reg6"
0,40,"stable","same","Male","normal",3,"private or freelance work",1,409.41,"1 per year",409.43,322.2,409.43,18,6,"unknown","125-300 kW","Reg6"
0,47,"stable","all drivers > 24","Male","normal",1,"private or freelance work",1,396.32,"4 per year",396.34,422.55,411.66,15,7,"other","75 kW","Reg10"
0,36,"stable","only partner","Male","medical",1,"private or freelance work",1,178.19,"1 per year",178.2,221.94,178.2,18,8,"underground garage","100 kW","Reg8"
0,26,"stable","same","Female","normal",1,"private or freelance work",1,349.49,"12 per year",349.5,362.92,366.29,13,9,"street","75 kW","Reg7"
0,39,"stable","all drivers > 24","Female","medical",7,"unknown",2,270.66,"1 per year",270.67,347.04,293.96,13,6,"private estate","75 kW","Reg5"
0,36,"down","same","Female","normal",1,"private or freelance work",1,472.97,"4 per year",482.63,460.15,450.42,14,13,"underground garage","75 kW","Reg8"
0,44,"stable","young drivers","Female","medical",0,"private or freelance work",1,276.54,"1 per year",276.55,299.07,281.86,10,9,"carport","100 kW","Reg12"
0,29,"down","same","Female","normal",3,"private or freelance work",1,317.43,"12 per year",323.91,349.98,277.64,12,7,"street","75 kW","Reg13"
0,42,"stable","same","Male","normal",1,"private or freelance work",1,240.09,"12 per year",240.1,263.74,242.37,13,10,"street","75 kW","Reg4"
0,45,"down","same","Male","normal",1,"private or freelance work",1,249.41,"4 per year",254.5,235.28,231.16,18,8,"street","75 kW","Reg9"
0,32,"down","same","Male","medical",0,"private or freelance work",1,308.91,"1 per year",315.21,424.5,286.56,18,16,"private garage","75 kW","Reg8"
0,40,"stable","only partner","Female","medical",0,"private or freelance work",1,590.25,"4 per year",590.26,622.84,590.26,8,7,"other","25-50 kW","Reg14"
0,49,"down","same","Female","normal",0,"private or freelance work",1,425.33,"2 per year",434.01,435.9,405.07,12,8,"parking deck","25-50 kW","Reg4"
0,52,"stable","same","Male","medical",2,"private or freelance work",1,515.52,"4 per year",515.54,456.55,515.54,16,14,"private garage","125-300 kW","Reg8"
0,30,"down","only partner","Female","medical",0,"private or freelance work",2,300.21,"2 per year",313.26,428.65,261.05,15,13,"street","75 kW","Reg11"
0,42,"down","only partner","Male","medical",2,"private or freelance work",1,275.64,"1 per year",281.26,365.29,255.7,15,7,"parking deck","75 kW","Reg4"
0,39,"stable","same","Male","medical",4,"private or freelance work",1,381.26,"1 per year",381.27,318.56,377.71,13,3,"unknown","75 kW","Reg2"
0,43,"stable","only partner","Female","normal",10,"unknown",1,316.11,"1 per year",316.12,286.6,337.17,15,4,"street","75 kW","Reg4"
0,41,"stable","only partner","Male","medical",2,"private or freelance work",1,202.88,"1 per year",202.88,193.72,202.88,7,0,"carport","25-50 kW","Reg5"
0,31,"stable","only partner","Male","normal",1,"private or freelance work",1,378.87,"1 per year",378.89,442.84,361.51,16,12,"street","100 kW","Reg8"
0,59,"stable","all drivers > 24","Female","normal",5,"unknown",2,284.49,"12 per year",284.5,230.38,264.95,16,9,"unknown","25-50 kW","Reg7"
0,30,"down","young drivers","Male","medical",0,"private or freelance work",1,653.63,"4 per year",759.26,737.02,640.75,18,17,"other","75 kW","Reg1"
0,61,"down","same","Male","normal",0,"private or freelance work",1,287.41,"1 per year",293.27,400,268.84,18,14,"other","75 kW","Reg8"
0,75,"down","same","Female","normal",1,"private or freelance work",1,847.3,"1 per year",884.14,913.89,709.06,10,7,"parking deck","100 kW","Reg4"
1,32,"down","young drivers","Male","normal",0,"private or freelance work",1,494.18,"1 per year",504.26,550.49,432.2,18,18,"street","75 kW","Reg1"
0,80,"stable","same","Male","normal",6,"unknown",1,360.21,"2 per year",360.22,399.69,350.28,14,8,"unknown","75 kW","Reg7"
0,23,"down","same","Male","normal",0,"private or freelance work",1,450.93,"4 per year",460.14,403.92,429.46,15,15,"private garage","25-50 kW","Reg3"
0,56,"down","only partner","Female","normal",5,"private or freelance work",1,368.6,"4 per year",376.12,272.66,329.11,15,13,"carport","75 kW","Reg3"
1,40,"down","only partner","Male","medical",0,"private or freelance work",1,354.05,"1 per year",411.27,549.85,321.86,18,9,"underground garage","75 kW","Reg7"
0,46,"down","all drivers > 24","Male","normal",3,"private or freelance work",1,608.65,"1 per year",621.07,574.32,564.61,18,16,"unknown","225 kW","Reg4"
0,61,"stable","young drivers","Female","medical",0,"private or freelance work",1,160.93,"1 per year",160.94,226.51,169.94,17,12,"street","25-50 kW","Reg10"
0,36,"stable","only partner","Male","medical",1,"private or freelance work",1,380.42,"2 per year",380.44,329.05,380.44,14,11,"street","75 kW","Reg8"
0,75,"stable","same","Female","normal",0,"private or freelance work",1,275.49,"2 per year",275.5,391.51,291.6,15,5,"parking deck","75 kW","Reg9"
0,42,"down","only partner","Male","medical",11,"private or freelance work",2,239.83,"1 per year",244.72,214.6,224.42,13,0,"other","25-50 kW","Reg14"
0,34,"down","only partner","Female","medical",1,"private or freelance work",1,307.85,"1 per year",314.14,285.66,271.71,14,11,"other","75 kW","Reg7"
1,46,"stable","only partner","Male","normal",0,"private or freelance work",5,146.62,"1 per year",146.64,207.95,146.64,15,8,"other","125-300 kW","Reg12"
0,27,"down","same","Male","normal",0,"private or freelance work",1,460.66,"12 per year",470.06,429.68,407.31,18,18,"private garage","25-50 kW","Reg14"
0,34,"down","same","Male","medical",0,"private or freelance work",1,490.83,"4 per year",500.85,523.71,467.46,12,11,"carport","75 kW","Reg5"
0,36,"stable","only partner","Male","normal",6,"unknown",1,531.24,"4 per year",531.25,346.4,502.63,12,5,"street","100 kW","Reg8"
0,49,"stable","only partner","Male","medical",2,"private or freelance work",5,375.79,"1 per year",375.8,350.44,393.88,13,11,"private garage","25-50 kW","Reg7"
0,44,"down","same","Male","medical",7,"unknown",1,321.29,"1 per year",327.85,235.23,286.88,13,6,"street","75 kW","Reg7"
0,46,"stable","same","Male","medical",1,"private or freelance work",1,220.85,"1 per year",220.86,171.95,195.52,3,0,"street","75 kW","Reg8"
0,44,"stable","same","Male","normal",6,"unknown",1,237.65,"2 per year",237.66,202.36,237.66,10,3,"private garage","75 kW","Reg13"
0,74,"stable","same","Male","normal",11,"unknown",1,376.6,"1 per year",376.61,351.36,405.07,13,0,"private garage","25-50 kW","Reg4"
0,85,"stable","same","Male","normal",6,"unknown",1,173.84,"12 per year",173.85,128.88,175.46,6,0,"private garage","25-50 kW","Reg7"
0,50,"stable","only partner","Male","normal",7,"private or freelance work",1,249.55,"1 per year",249.56,265.7,238.09,17,10,"street","25-50 kW","Reg14"
0,41,"down","only partner","Female","normal",0,"private or freelance work",1,319.43,"4 per year",325.95,361.04,321.97,18,16,"underground garage","25-50 kW","Reg8"
0,36,"stable","only partner","Female","medical",2,"private or freelance work",1,336.15,"1 per year",336.16,333.12,326.96,11,7,"other","75 kW","Reg5"
0,48,"down","only partner","Male","normal",0,"private or freelance work",1,352.53,"4 per year",359.72,362.51,329.98,12,11,"other","125-300 kW","Reg10"
0,44,"down","same","Female","normal",0,"private or freelance work",1,354.37,"1 per year",361.6,223.56,325.44,14,14,"carport","75 kW","Reg11"
0,53,"down","same","Male","normal",0,"private or freelance work",1,373.28,"4 per year",380.9,452.43,346.27,18,12,"street","75 kW","Reg3"
1,54,"stable","only partner","Male","normal",2,"private or freelance work",1,214.35,"1 per year",214.36,187.93,210.4,9,9,"carport","25-50 kW","Reg12"
0,85,"stable","same","Female","normal",7,"unknown",1,237.16,"1 per year",237.18,207.09,246.18,17,10,"street","25-50 kW","Reg8"
1,37,"down","only partner","Male","medical",0,"private or freelance work",2,244.02,"1 per year",249,273.12,222.01,16,15,"street","100 kW","Reg4"
0,54,"stable","same","Female","normal",7,"unknown",1,303.6,"12 per year",303.61,240.67,303.61,16,9,"street","75 kW","Reg5"
0,47,"stable","young drivers","Female","medical",0,"private or freelance work",3,259,"1 per year",259.01,314.86,259.01,18,17,"street","25-50 kW","Reg4"
0,46,"stable","same","Male","medical",2,"private or freelance work",1,229.09,"1 per year",229.1,191.74,220.91,18,1,"private garage","75 kW","Reg12"
0,38,"down","only partner","Female","medical",0,"private or freelance work",1,212.21,"1 per year",216.54,311.64,198.49,14,9,"parking deck","75 kW","Reg6"
0,38,"stable","all drivers > 24","Female","normal",1,"private or freelance work",1,338.06,"1 per year",338.07,372.76,338.07,13,5,"street","100 kW","Reg6"
1,37,"stable","same","Male","medical",1,"private or freelance work",1,278.2,"1 per year",278.21,369.69,286.22,13,7,"street","125-300 kW","Reg8"
1,40,"down","same","Male","medical",0,"private or freelance work",1,442.54,"2 per year",451.58,446.41,421.47,15,15,"private garage","75 kW","Reg3"
0,38,"stable","same","Female","normal",1,"private or freelance work",1,347.11,"4 per year",347.13,382.24,347.13,12,5,"street","75 kW","Reg4"
0,51,"down","same","Male","medical",8,"unknown",2,444.5,"1 per year",453.57,301.05,410.57,12,4,"street","75 kW","Reg6"
0,66,"stable","only partner","Male","medical",7,"unknown",1,261.51,"1 per year",261.53,212.96,261.53,11,4,"private garage","25-50 kW","Reg14"
0,36,"stable","same","Male","medical",0,"private or freelance work",1,249.55,"4 per year",249.56,290.17,249.56,7,4,"street","125-300 kW","Reg5"
0,70,"stable","same","Male","normal",0,"private or freelance work",1,242.58,"1 per year",242.59,386.82,242.59,18,8,"carport","100 kW","Reg8"
0,44,"down","same","Male","medical",1,"private or freelance work",1,473.84,"4 per year",494.44,434.83,408.25,7,0,"street","25-50 kW","Reg4"
0,43,"down","same","Male","normal",1,"private or freelance work",1,160.24,"1 per year",163.51,148.94,140.25,18,10,"street","25-50 kW","Reg7"
0,42,"down","young drivers","Female","normal",0,"private or freelance work",2,905.08,"12 per year",1051.35,840.22,830.67,12,11,"private garage","75 kW","Reg6"
0,26,"down","same","Male","normal",0,"private or freelance work",1,731.99,"4 per year",850.29,632.62,665.46,16,15,"private garage","75 kW","Reg14"
0,51,"down","all drivers > 24","Male","normal",0,"private or freelance work",1,499.43,"2 per year",509.63,548.33,475.65,17,2,"street","75 kW","Reg2"
0,30,"down","same","Female","normal",2,"private or freelance work",1,366.91,"12 per year",382.86,425.64,319.05,13,12,"carport","25-50 kW","Reg3"
0,70,"stable","only partner","Male","normal",1,"private or freelance work",1,253.75,"4 per year",253.76,365.54,279.34,14,10,"other","125-300 kW","Reg8"
0,39,"stable","same","Female","medical",7,"private or freelance work",1,335.79,"1 per year",335.8,255.07,335.8,10,3,"private garage","100 kW","Reg7"
0,39,"stable","same","Male","normal",7,"unknown",1,259.58,"1 per year",259.59,223.86,259.59,12,5,"private estate","100 kW","Reg13"
0,41,"down","young drivers","Female","medical",0,"private or freelance work",2,247.88,"1 per year",252.94,278.18,207.92,9,7,"street","25-50 kW","Reg13"
0,35,"stable","same","Male","normal",7,"unknown",1,398.79,"1 per year",398.8,283.51,406.11,14,7,"street","100 kW","Reg4"
0,37,"stable","only partner","Male","normal",0,"private or freelance work",1,161.91,"4 per year",161.92,166.98,152.11,18,18,"private garage","75 kW","Reg1"
0,31,"stable","only partner","Female","normal",1,"private or freelance work",1,271.68,"2 per year",271.69,308.68,264.26,11,6,"private garage","75 kW","Reg12"
0,38,"stable","same","Male","medical",0,"private or freelance work",1,272.9,"2 per year",272.91,349.28,272.91,11,1,"parking deck","75 kW","Reg7"
0,33,"down","only partner","Male","normal",0,"private or freelance work",4,433.87,"4 per year",442.72,424.75,409.23,10,10,"other","100 kW","Reg8"
0,57,"down","young drivers","Male","medical",0,"private or freelance work",1,329.9,"4 per year",336.64,367.11,288.55,10,5,"private garage","25-50 kW","Reg4"
0,46,"stable","only partner","Male","normal",6,"unknown",2,213.16,"1 per year",213.17,201.19,203.64,9,2,"private garage","100 kW","Reg11"
0,57,"stable","only partner","Male","medical",0,"private or freelance work",2,246.06,"2 per year",237.01,288.94,246.06,9,8,"private garage","125-300 kW","Reg12"
0,46,"down","only partner","Male","normal",5,"unknown",1,465.5,"2 per year",475,348.31,427.5,18,11,"unknown","25-50 kW","Reg9"
0,51,"stable","same","Male","normal",1,"private or freelance work",1,469.44,"1 per year",469.45,572.01,487.63,15,9,"street","100 kW","Reg9"
0,43,"down","same","Male","normal",0,"private or freelance work",1,295.8,"4 per year",301.84,355.01,277.04,13,8,"street","75 kW","Reg4"
0,49,"stable","young drivers","Female","normal",0,"private or freelance work",1,233.59,"1 per year",233.6,268.84,222.88,4,2,"private garage","100 kW","Reg7"
0,30,"stable","same","Male","normal",2,"private or freelance work",1,304.85,"12 per year",304.86,238.6,291.04,8,1,"private garage","75 kW","Reg12"
0,40,"down","same","Female","medical",7,"unknown",1,709.78,"1 per year",903.36,464.38,651.26,8,1,"street","25-50 kW","Reg11"
0,37,"stable","same","Male","normal",2,"private or freelance work",1,284.25,"1 per year",284.26,300.07,292.34,16,10,"street","100 kW","Reg8"
0,37,"stable","same","Female","medical",0,"private or freelance work",1,185.41,"1 per year",185.42,285.12,185.42,12,5,"other","25-50 kW","Reg3"
0,49,"stable","only partner","Female","normal",9,"private or freelance work",1,173.59,"1 per year",173.6,225.1,180.25,11,2,"private garage","125-300 kW","Reg14"
0,38,"down","only partner","Male","medical",0,"private or freelance work",1,201.98,"2 per year",206.1,261.49,183.2,12,2,"other","100 kW","Reg12"
0,24,"down","young drivers","Female","medical",0,"private or freelance work",1,338.43,"1 per year",345.34,498.22,290.52,11,8,"private garage","75 kW","Reg13"
0,43,"stable","same","Male","medical",2,"private or freelance work",1,256.31,"2 per year",256.31,271.64,256.31,13,6,"private garage","75 kW","Reg4"
0,27,"down","same","Female","medical",0,"private or freelance work",1,494.26,"4 per year",574.14,514.52,449.34,14,13,"other","25-50 kW","Reg3"
0,38,"stable","same","Male","medical",1,"private or freelance work",1,200.88,"4 per year",200.89,252.03,200.89,17,12,"parking deck","100 kW","Reg7"
0,33,"stable","same","Male","medical",1,"private or freelance work",1,247.39,"1 per year",247.4,266.49,254.39,13,9,"street","100 kW","Reg7"
0,28,"down","same","Female","normal",2,"private or freelance work",1,573.32,"1 per year",585.02,343,531.03,10,7,"private garage","25-50 kW","Reg4"
0,42,"stable","young drivers","Female","medical",0,"private or freelance work",2,329.96,"1 per year",329.98,473.65,329.98,13,0,"other","100 kW","Reg8"
0,43,"down","young drivers","Male","normal",0,"private or freelance work",1,1190.26,"4 per year",1239.85,985.84,970.37,10,9,"private garage","25-50 kW","Reg4"
0,39,"down","same","Female","normal",0,"private or freelance work",1,218.28,"1 per year",222.74,274.86,200.46,13,6,"street","75 kW","Reg4"
0,41,"up","only partner","Male","medical",0,"private or freelance work",2,337.2,"1 per year",269.76,462.9,337.21,3,1,"carport","25-50 kW","Reg1"
1,24,"down","same","Female","normal",0,"private or freelance work",1,358.01,"1 per year",365.31,388.06,313.12,15,12,"other","75 kW","Reg5"
1,47,"stable","same","Male","normal",6,"private or freelance work",1,321.93,"1 per year",321.93,302.74,321.93,6,4,"street","75 kW","Reg12"
0,61,"down","all drivers > 24","Female","medical",0,"private or freelance work",1,292.81,"2 per year",298.79,365.88,292.4,3,0,"parking deck","75 kW","Reg4"
0,34,"stable","only partner","Male","medical",3,"private or freelance work",1,464.8,"4 per year",464.81,380.77,464.81,15,10,"unknown","75 kW","Reg8"
0,34,"down","only partner","Male","normal",2,"private or freelance work",1,217.07,"2 per year",221.5,243.81,193.81,9,1,"private garage","75 kW","Reg6"
0,35,"down","same","Male","normal",0,"private or freelance work",1,657.12,"1 per year",684.5,693.77,535.69,12,10,"underground garage","100 kW","Reg5"
0,49,"up","same","Female","normal",6,"unknown",2,382.33,"2 per year",254.89,359.94,355,17,10,"private estate","100 kW","Reg5"
0,47,"down","same","Female","normal",1,"private or freelance work",1,402.93,"12 per year",411.15,413.03,376.89,17,12,"private garage","75 kW","Reg4"
0,27,"down","same","Male","normal",0,"private or freelance work",1,548.2,"2 per year",559.39,341.56,479.45,17,16,"other","75 kW","Reg7"
0,44,"stable","only partner","Male","normal",2,"private or freelance work",1,151.25,"1 per year",151.26,144.25,151.26,15,5,"private garage","75 kW","Reg7"
0,30,"down","same","Male","normal",0,"private or freelance work",1,782.27,"12 per year",908.7,778.51,711.16,15,15,"private garage","100 kW","Reg3"
0,47,"stable","same","Male","medical",0,"private or freelance work",1,135.65,"1 per year",135.65,199.7,135.65,18,18,"private garage","100 kW","Reg14"
0,27,"down","same","Female","normal",0,"private or freelance work",1,538.13,"12 per year",561.53,531.56,425.81,9,7,"street","100 kW","Reg14"
0,30,"stable","only partner","Male","normal",1,"private or freelance work",1,181.51,"1 per year",181.53,257.7,181.53,13,6,"private garage","75 kW","Reg12"
0,41,"down","same","Male","normal",2,"private or freelance work",1,235.3,"2 per year",240.1,224.31,205.8,12,10,"carport","25-50 kW","Reg4"
0,29,"down","same","Male","normal",0,"private or freelance work",1,622.18,"2 per year",634.87,635.86,592.55,13,11,"street","100 kW","Reg4"
0,41,"stable","same","Male","normal",7,"private or freelance work",1,224.36,"1 per year",224.36,190.9,224.36,7,0,"other","125-300 kW","Reg6"
0,37,"stable","only partner","Male","normal",0,"private or freelance work",1,201.05,"1 per year",201.06,253.35,204.85,12,10,"private garage","100 kW","Reg3"
1,39,"up","same","Female","normal",0,"private or freelance work",1,840.92,"1 per year",666.94,992.93,840.92,8,8,"private garage","75 kW","Reg5"
0,29,"down","only partner","Female","normal",1,"private or freelance work",3,254.73,"4 per year",259.93,264.66,229.89,12,7,"parking deck","25-50 kW","Reg14"
0,30,"down","only partner","Female","normal",1,"private or freelance work",1,306.53,"4 per year",312.79,367.6,284.35,14,8,"street","75 kW","Reg4"
0,45,"stable","young drivers","Male","normal",7,"unknown",1,279.29,"1 per year",276.66,247.67,279.29,7,0,"private garage","100 kW","Reg7"
